pb1_long,pb1_short,pnl
60,130,173928
60,140,159508
60,150,153852
60,160,146224
60,170,141544
60,180,152434
70,130,177456
70,140,164090
70,150,159126
70,160,153152
70,170,150614
70,180,161550
80,130,159848
80,140,146482
80,150,142520
80,160,137276
80,170,134738
80,180,145674
90,130,141382
90,140,129252
90,150,134166
90,160,130012
90,170,127474
90,180,138410
100,130,138636
100,140,129488
100,150,140036
100,160,137344
100,170,127310
100,180,129000
