pb1_long,pb1_short,pb2_long,pb2_short,croissants_long,croissants_short,jams_long,jams_short,djembes_long,djembes_short,pnl
30,90,50,100,230,355,195,485,325,370,173154
30,100,50,100,230,355,195,485,325,370,164836
30,110,50,100,230,355,195,485,325,370,169192
30,120,50,100,230,355,195,485,325,370,155126
30,130,50,100,230,355,195,485,325,370,171204
40,90,50,100,230,355,195,485,325,370,173784
40,100,50,100,230,355,195,485,325,370,154830
40,110,50,100,230,355,195,485,325,370,159186
40,120,50,100,230,355,195,485,325,370,148590
40,130,50,100,230,355,195,485,325,370,164668
50,90,50,100,230,355,195,485,325,370,173066
50,100,50,100,230,355,195,485,325,370,157054
50,110,50,100,230,355,195,485,325,370,168526
50,120,50,100,230,355,195,485,325,370,157784
50,130,50,100,230,355,195,485,325,370,173764
60,90,50,100,230,355,195,485,325,370,164292
60,100,50,100,230,355,195,485,325,370,158148
60,110,50,100,230,355,195,485,325,370,163094
60,120,50,100,230,355,195,485,325,370,156732
60,130,50,100,230,355,195,485,325,370,173928
70,90,50,100,230,355,195,485,325,370,170266
70,100,50,100,230,355,195,485,325,370,167312
70,110,50,100,230,355,195,485,325,370,166334
70,120,50,100,230,355,195,485,325,370,156192
70,130,50,100,230,355,195,485,325,370,177456
50,100,30,90,230,355,195,485,325,370,178472
50,100,30,100,230,355,195,485,325,370,154056
50,100,30,110,230,355,195,485,325,370,160236
50,100,30,120,230,355,195,485,325,370,156262
50,100,30,130,230,355,195,485,325,370,152906
50,100,40,90,230,355,195,485,325,370,179560
50,100,40,100,230,355,195,485,325,370,164066
50,100,40,110,230,355,195,485,325,370,172830
50,100,40,120,230,355,195,485,325,370,170194
50,100,40,130,230,355,195,485,325,370,176636
50,100,50,90,230,355,195,485,325,370,161810
50,100,50,100,230,355,195,485,325,370,157054
50,100,50,110,230,355,195,485,325,370,165818
50,100,50,120,230,355,195,485,325,370,163182
50,100,50,130,230,355,195,485,325,370,169624
50,100,60,90,230,355,195,485,325,370,160438
50,100,60,100,230,355,195,485,325,370,155988
50,100,60,110,230,355,195,485,325,370,167010
50,100,60,120,230,355,195,485,325,370,163846
50,100,60,130,230,355,195,485,325,370,170528
50,100,70,90,230,355,195,485,325,370,169221
50,100,70,100,230,355,195,485,325,370,178329
50,100,70,110,230,355,195,485,325,370,184574
50,100,70,120,230,355,195,485,325,370,175746
50,100,70,130,230,355,195,485,325,370,171588
