pb1_long,pb1_short,pnl
40,90,173784
40,100,154830
40,110,159186
40,120,148590
40,130,164668
50,90,173066
50,100,157054
50,110,168526
50,120,157784
50,130,173764
60,90,164292
60,100,158148
60,110,163094
60,120,156732
60,130,173928
70,90,170266
70,100,167312
70,110,166334
70,120,156192
70,130,177456
80,90,158600
80,100,163368
80,110,152792
80,120,141372
80,130,159848
