croissants_long,croissants_short,pnl
0,130,189662
0,140,188460
0,150,192296
0,160,191730
0,170,185572
0,180,186696
10,130,189594
10,140,188392
10,150,191820
10,160,191254
10,170,185098
10,180,186222
20,130,190654
20,140,189452
20,150,192694
20,160,192128
20,170,185972
20,180,187096
30,130,190886
30,140,189684
30,150,192714
30,160,192148
30,170,185992
30,180,187116
