djembes_long,djembes_short,pnl
120,190,153762
120,200,153648
120,210,159314
120,220,158670
120,230,159334
130,190,157154
130,200,158388
130,210,162918
130,220,162274
130,230,158974
140,190,155838
140,200,156630
140,210,160430
140,220,159788
140,230,158284
150,190,159556
150,200,160726
150,210,160816
150,220,160174
150,230,158494
160,190,158476
160,200,158880
160,210,160126
160,220,159482
160,230,158494
