jams_long,jams_short,pnl
0,150,194042
0,170,185104
0,190,180094
0,210,164272
0,230,152048
20,150,192870
20,170,183932
20,190,178922
20,210,163932
20,230,154508
40,150,188098
40,170,179160
40,190,174150
40,210,161812
40,230,154426
60,150,179930
60,170,164836
60,190,157638
60,210,166188
60,230,156138
80,150,164548
80,170,152886
80,190,146616
80,210,162012
80,230,155388
