djembes_long,djembes_short,pnl
130,190,157154
130,210,162918
130,230,158974
130,250,157054
150,190,159556
150,210,160816
150,230,158494
150,250,157054
170,190,157244
170,210,159434
170,230,158494
170,250,157054
190,190,153386
190,210,158604
190,230,158614
190,250,157054
