croissants_long,croissants_short,pnl
0,120,184458
0,150,192296
0,180,186696
0,210,172270
0,240,158904
25,120,185522
25,150,192704
25,180,187106
25,210,173054
25,240,159054
50,120,183858
50,150,188170
50,180,178630
50,210,173046
50,240,159554
