upper,lower,mult_high,mult_low,pnl
0.5,0.3,1.3,0.6,-46510
0.5,0.3,1.3,0.7,-40287
0.5,0.3,1.3,0.8,-34056
0.5,0.3,1.5,0.2,-85963
0.5,0.3,1.5,0.3,-79747
0.5,0.3,1.5,0.4,-73520
0.5,0.3,1.5,0.5,-67302
0.5,0.3,1.5,0.6,-61069
0.5,0.3,1.5,0.7,-54846
0.5,0.3,1.5,0.8,-48615
0.5,0.3,1.9,0.2,-115079
0.5,0.3,1.9,0.3,-108863
0.5,0.3,1.9,0.4,-102636
0.5,0.3,1.9,0.5,-96418
0.5,0.3,1.9,0.6,-90185
0.5,0.3,1.9,0.7,-83962
0.5,0.3,1.9,0.8,-77731
0.5,0.3,2.5,0.2,-158757
0.5,0.3,2.5,0.3,-152541
0.5,0.3,2.5,0.4,-146314
0.5,0.3,2.5,0.5,-140096
0.5,0.3,2.5,0.6,-133863
0.5,0.3,2.5,0.7,-127640
0.5,0.3,2.5,0.8,-121409
0.5,0.4,0.9,0.2,-14300
0.5,0.4,0.9,0.3,-14300
0.5,0.4,0.9,0.4,-14300
0.5,0.4,0.9,0.5,-14300
0.5,0.4,0.9,0.6,-14300
0.5,0.4,0.9,0.7,-14300
0.5,0.4,0.9,0.8,-14300
0.5,0.4,1.1,0.2,-81856
0.5,0.4,1.1,0.3,-73775
0.5,0.4,1.1,0.4,-65670
0.5,0.4,1.1,0.5,-57573
0.5,0.4,1.1,0.6,-49470
0.5,0.4,1.1,0.7,-41372
0.5,0.4,1.1,0.8,-33279
0.5,0.4,1.3,0.2,-90552
0.5,0.4,1.3,0.3,-82471
0.5,0.4,1.3,0.4,-74366
0.5,0.4,1.3,0.5,-66269
0.5,0.4,1.3,0.6,-58166
0.5,0.4,1.3,0.7,-50068
0.5,0.4,1.3,0.8,-41975
0.5,0.4,1.5,0.2,-99241
0.5,0.4,1.5,0.3,-91160
0.5,0.4,1.5,0.4,-83055
0.5,0.4,1.5,0.5,-74958
0.5,0.4,1.5,0.6,-66855
0.5,0.4,1.5,0.7,-58757
0.5,0.4,1.5,0.8,-50664
0.5,0.4,1.9,0.2,-116626
0.5,0.4,1.9,0.3,-108545
0.5,0.4,1.9,0.4,-100440
0.5,0.4,1.9,0.5,-92343
0.5,0.4,1.9,0.6,-84240
0.5,0.4,1.9,0.7,-76142
0.5,0.4,1.9,0.8,-68049
0.5,0.4,2.5,0.2,-142709
0.5,0.4,2.5,0.3,-134628
0.5,0.4,2.5,0.4,-126523
0.5,0.4,2.5,0.5,-118426
0.5,0.4,2.5,0.6,-110323
0.5,0.4,2.5,0.7,-102225
0.5,0.4,2.5,0.8,-94132
0.5,0.5,0.9,0.2,-7785
0.5,0.5,0.9,0.3,-7785
0.5,0.5,0.9,0.4,-7785
0.5,0.5,0.9,0.5,-7785
0.5,0.5,0.9,0.6,-7785
0.5,0.5,0.9,0.7,-7785
0.5,0.5,0.9,0.8,-7785
0.5,0.5,1.1,0.2,-129300
0.5,0.5,1.1,0.3,-117543
0.5,0.5,1.1,0.4,-105781
0.5,0.5,1.1,0.5,-94022
0.5,0.5,1.1,0.6,-82249
0.5,0.5,1.1,0.7,-70494
0.5,0.5,1.1,0.8,-58725
0.5,0.5,1.3,0.2,-164402
0.5,0.5,1.3,0.3,-152645
0.5,0.5,1.3,0.4,-140883
0.5,0.5,1.3,0.5,-129124
0.5,0.5,1.3,0.6,-117351
0.5,0.5,1.3,0.7,-105596
0.5,0.5,1.3,0.8,-93827
0.5,0.5,1.5,0.2,-199473
0.5,0.5,1.5,0.3,-187716
0.5,0.5,1.5,0.4,-175954
0.5,0.5,1.5,0.5,-164195
0.5,0.5,1.5,0.6,-152422
0.5,0.5,1.5,0.7,-140667
0.5,0.5,1.5,0.8,-128898
0.5,0.5,1.9,0.2,-269672
0.5,0.5,1.9,0.3,-257915
0.5,0.5,1.9,0.4,-246153
0.5,0.5,1.9,0.5,-234394
0.5,0.5,1.9,0.6,-222621
0.5,0.5,1.9,0.7,-210866
0.5,0.5,1.9,0.8,-199097
0.5,0.5,2.5,0.2,-374963
0.5,0.5,2.5,0.3,-363206
0.5,0.5,2.5,0.4,-351444
0.5,0.5,2.5,0.5,-339685
0.5,0.5,2.5,0.6,-327912
0.5,0.5,2.5,0.7,-316157
0.5,0.5,2.5,0.8,-304388
0.6,0,0.9,0.2,-49382
0.6,0,0.9,0.3,-49382
0.6,0,0.9,0.4,-49382
0.6,0,0.9,0.5,-49382
0.6,0,0.9,0.6,-49382
0.6,0,0.9,0.7,-49382
0.6,0,0.9,0.8,-49382
0.6,0,1.1,0.2,-3674
0.6,0,1.1,0.3,-3674
0.6,0,1.1,0.4,-3674
0.6,0,1.1,0.5,-3674
0.6,0,1.1,0.6,-3674
0.6,0,1.1,0.7,-3674
0.6,0,1.1,0.8,-3674
0.6,0,1.3,0.2,-17084
0.6,0,1.3,0.3,-17084
0.6,0,1.3,0.4,-17084
0.6,0,1.3,0.5,-17084
0.6,0,1.3,0.6,-17084
0.6,0,1.3,0.7,-17084
0.6,0,1.3,0.8,-17084
0.6,0,1.5,0.2,-30498
0.6,0,1.5,0.3,-30498
0.6,0,1.5,0.4,-30498
0.6,0,1.5,0.5,-30498
0.6,0,1.5,0.6,-30498
0.6,0,1.5,0.7,-30498
0.6,0,1.5,0.8,-30498
0.6,0,1.9,0.2,-57308
0.6,0,1.9,0.3,-57308
0.6,0,1.9,0.4,-57308
0.6,0,1.9,0.5,-57308
0.6,0,1.9,0.6,-57308
0.6,0,1.9,0.7,-57308
0.6,0,1.9,0.8,-57308
0.6,0,2.5,0.2,-97534
0.6,0,2.5,0.3,-97534
0.6,0,2.5,0.4,-97534
0.6,0,2.5,0.5,-97534
0.6,0,2.5,0.6,-97534
0.6,0,2.5,0.7,-97534
0.6,0,2.5,0.8,-97534
0.6,0.1,0.9,0.2,-59086
0.6,0.1,0.9,0.3,-58550
0.6,0.1,0.9,0.4,-58014
0.6,0.1,0.9,0.5,-57478
0.6,0.1,0.9,0.6,-56942
0.6,0.1,0.9,0.7,-56406
0.6,0.1,0.9,0.8,-55868
0.6,0.1,1.1,0.2,-8544
0.6,0.1,1.1,0.3,-7984
0.6,0.1,1.1,0.4,-7422
0.6,0.1,1.1,0.5,-6860
0.6,0.1,1.1,0.6,-6298
0.6,0.1,1.1,0.7,-5738
0.6,0.1,1.1,0.8,-5176
0.6,0.1,1.3,0.2,-21954
0.6,0.1,1.3,0.3,-21394
0.6,0.1,1.3,0.4,-20832
0.6,0.1,1.3,0.5,-20270
0.6,0.1,1.3,0.6,-19708
0.6,0.1,1.3,0.7,-19148
0.6,0.1,1.3,0.8,-18586
0.6,0.1,1.5,0.2,-35368
0.6,0.1,1.5,0.3,-34808
0.6,0.1,1.5,0.4,-34246
0.6,0.1,1.5,0.5,-33684
0.6,0.1,1.5,0.6,-33122
0.6,0.1,1.5,0.7,-32562
0.6,0.1,1.5,0.8,-32000
0.6,0.1,1.9,0.2,-62180
0.6,0.1,1.9,0.3,-61618
0.6,0.1,1.9,0.4,-61056
0.6,0.1,1.9,0.5,-60496
0.6,0.1,1.9,0.6,-59934
0.6,0.1,1.9,0.7,-59372
0.6,0.1,1.9,0.8,-58810
0.6,0.1,2.5,0.2,-102404
0.6,0.1,2.5,0.3,-101844
0.6,0.1,2.5,0.4,-101282
0.6,0.1,2.5,0.5,-100720
0.6,0.1,2.5,0.6,-100158
0.6,0.1,2.5,0.7,-99598
0.6,0.1,2.5,0.8,-99036
0.6,0.2,0.9,0.2,-30657
0.6,0.2,0.9,0.3,-30657
0.6,0.2,0.9,0.4,-30657
0.6,0.2,0.9,0.5,-30657
0.6,0.2,0.9,0.6,-30657
0.6,0.2,0.9,0.7,-30657
0.6,0.2,0.9,0.8,-30657
0.6,0.2,1.1,0.2,-8938
0.6,0.2,1.1,0.3,-8042
0.6,0.2,1.1,0.4,-7142
