pb2_long,pb2_short,pnl
-200,100,298199
-200,120,300156
-200,140,294263
-200,160,250768
-200,180,250768
-200,200,250768
-180,100,298199
-180,120,300156
-180,140,294263
-180,160,250768
-180,180,250768
-180,200,250768
-160,100,298199
-160,120,300156
-160,140,294263
-160,160,250768
-160,180,250768
-160,200,250768
-140,100,298199
-140,120,300156
-140,140,294263
-140,160,250768
-140,180,250768
-140,200,250768
-120,100,292994
-120,120,293790
-120,140,279954
-120,160,236459
-120,180,236459
-120,200,236459
-100,100,314834
-100,120,315630
-100,140,301794
-100,160,245452
-100,180,245452
-100,200,245452
-80,100,300146
-80,120,300942
-80,140,287106
-80,160,235517
-80,180,235517
-80,200,235517
-60,100,297948
-60,120,298744
-60,140,284908
-60,160,233247
-60,180,233247
-60,200,233247
-40,100,280487
-40,120,281283
-40,140,267447
-40,160,224659
-40,180,224659
-40,200,224659
-20,100,273376
-20,120,274172
-20,140,260336
-20,160,220737
-20,180,220737
-20,200,220737
0,100,263221
0,120,264017
0,140,250181
0,160,216201
0,180,216201
0,200,216201
