pb2_long,pb2_short,pnl
-200,100,639792
-200,120,649208
-200,140,656190
-200,160,639712
-200,180,637640
-200,200,631098
-180,100,639792
-180,120,649208
-180,140,656190
-180,160,639712
-180,180,637640
-180,200,631098
-160,100,639792
-160,120,649208
-160,140,656190
-160,160,639712
-160,180,637640
-160,200,631098
-140,100,639792
-140,120,649208
-140,140,656190
-140,160,639712
-140,180,637640
-140,200,631098
-120,100,639792
-120,120,649208
-120,140,656190
-120,160,639712
-120,180,637640
-120,200,631098
-100,100,659372
-100,120,668790
-100,140,675770
-100,160,649620
-100,180,647546
-100,200,641006
-80,100,656050
-80,120,665468
-80,140,672448
-80,160,647480
-80,180,645406
-80,200,638866
-60,100,649200
-60,120,663448
-60,140,674382
-60,160,654716
-60,180,642986
-60,200,636444
-40,100,639004
-40,120,653250
-40,140,664184
-40,160,649826
-40,180,638096
-40,200,631554
-20,100,632828
-20,120,647074
-20,140,658008
-20,160,645222
-20,180,633490
-20,200,626950
0,100,652108
0,120,650724
0,140,661658
0,160,654332
0,180,636686
0,200,625780
