croissants_long,croissants_short,pnl
-200,110,677178
-200,130,676258
-200,150,679398
-200,170,677204
-200,190,676560
-180,110,679242
-180,130,677258
-180,150,682648
-180,170,677980
-180,190,677310
-160,110,680178
-160,130,678008
-160,150,683398
-160,170,678730
-160,190,678060
-140,110,680054
-140,130,677634
-140,150,683024
-140,170,678356
-140,190,677688
-120,110,679678
-120,130,677508
-120,150,682898
-120,170,678230
-120,190,677560
-100,110,678678
-100,130,676258
-100,150,681648
-100,170,676980
-100,190,676310
-80,110,677668
-80,130,675648
-80,150,681038
-80,170,676370
-80,190,675700
-60,110,684138
-60,130,675716
-60,150,670028
-60,170,661860
-60,190,669692
-40,110,685970
-40,130,678726
-40,150,672694
-40,170,664526
-40,190,672356
-20,110,687250
-20,130,678456
-20,150,675060
-20,170,666892
-20,190,674724
0,110,682018
0,130,676026
0,150,672746
0,170,664578
0,190,672410
20,110,670344
20,130,669652
20,150,665780
20,170,657612
20,190,665444
