djembes_long,djembes_short,pnl
-150,210,664018
-150,230,668008
-150,250,669922
-150,270,669838
-150,290,659368
-150,310,659368
-130,210,663686
-130,230,667676
-130,250,669590
-130,270,669506
-130,290,659036
-130,310,659036
-110,210,663956
-110,230,667948
-110,250,669862
-110,270,669778
-110,290,659308
-110,310,659308
-90,210,664016
-90,230,668008
-90,250,669922
-90,270,669838
-90,290,659368
-90,310,659368
-70,210,665456
-70,230,669448
-70,250,671362
-70,270,671278
-70,290,660808
-70,310,660808
-50,210,653756
-50,230,659608
-50,250,661522
-50,270,661438
-50,290,655738
-50,310,655738
-30,210,657392
-30,230,663242
-30,250,665156
-30,270,665072
-30,290,659072
-30,310,659072
-10,210,655576
-10,230,661428
-10,250,663342
-10,270,663258
-10,290,656878
-10,310,656878
10,210,654792
10,230,660644
10,250,662558
10,270,662474
10,290,656294
10,310,656294
